Y0,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,class_id
728.0,322.0,173.2,24.8,324.0,873.8,13.2,761.8,304.2,166.4,184.6,72.0,776.6,462.2,400.4,96.6,809.4,831.6,649.6,476.0,664.4,592.2,239.0,180.2,443.0,4
582.8,717.2,949.6,107.2,4.6,327.2,979.0,815.8,65.4,338.0,831.4,123.8,719.8,536.8,284.6,714.6,23.0,667.4,794.6,87.4,819.8,52.2,965.6,29.6,808.4,4
821.6,401.2,171.4,46.6,35.0,393.6,897.0,630.8,898.6,739.4,528.0,833.0,91.2,409.8,356.2,567.6,791.0,736.6,649.2,681.0,873.2,855.4,3.8,748.6,754.8,4
261.0,10.0,420.2,4.4,336.8,396.4,372.6,583.2,562.6,72.6,610.8,722.4,721.6,544.4,644.6,879.4,765.0,528.6,81.0,804.4,27.4,318.6,465.8,720.0,209.6,4
838.4,394.0,702.0,528.2,561.6,660.6,488.0,829.0,529.8,560.2,261.4,362.2,95.8,680.4,642.4,464.6,884.4,406.6,11.8,933.2,911.6,184.2,42.4,96.2,863.0,4
371.6,835.6,726.4,795.8,986.6,84.4,341.2,861.2,204.0,19.8,784.2,449.0,508.6,747.2,205.0,577.8,257.2,80.6,655.4,140.0,576.6,238.2,349.2,574.0,757.2,4
164.4,875.4,172.2,983.4,623.6,877.2,32.0,360.8,852.8,181.6,152.8,824.4,893.4,884.0,780.4,84.8,37.4,892.0,864.4,647.6,661.4,972.0,444.6,873.0,947.0,4
871.4,768.6,4.6,166.4,785.4,740.2,688.0,550.2,662.4,820.6,704.8,73.6,823.6,500.4,980.0,803.4,813.6,825.8,268.4,534.2,417.4,978.0,816.4,667.6,859.0,4
91.8,298.8,820.4,862.8,102.4,339.8,665.0,27.2,712.2,402.2,37.0,788.0,782.2,586.2,172.2,791.6,940.0,652.0,432.8,491.8,634.8,890.2,103.4,772.0,670.8,4
226.0,110.4,682.4,818.4,254.8,605.6,693.0,4.4,865.4,783.0,852.0,89.6,631.0,723.4,907.0,787.8,451.0,439.8,333.8,258.6,168.6,173.0,137.4,321.8,825.0,4
836.6,883.8,628.4,556.0,11.4,332.2,896.2,412.2,586.0,432.2,351.8,413.8,518.2,17.6,775.4,770.6,148.8,827.4,852.4,720.0,834.4,339.8,139.8,90.2,81.0,5
667.0,219.0,436.4,710.4,330.6,73.6,208.2,717.2,159.4,503.4,309.6,114.6,208.6,216.6,161.6,628.6,244.2,84.0,194.2,732.6,318.4,843.4,136.6,118.2,143.8,5
110.8,145.2,529.4,38.6,911.2,675.2,147.6,403.0,815.2,4.4,129.6,703.8,4.2,180.8,117.4,715.0,297.6,168.6,823.6,50.2,880.2,686.6,806.8,585.8,432.8,5
706.6,190.0,736.4,801.2,70.4,29.8,4.8,418.0,438.2,716.4,422.4,313.0,419.8,49.2,382.0,593.8,15.8,64.0,738.4,590.4,130.4,613.2,74.8,786.0,762.4,5
127.4,4.0,73.2,676.4,468.0,209.4,265.0,773.8,201.2,96.8,447.8,138.4,351.0,317.8,195.4,307.6,512.2,107.4,543.0,692.0,723.2,832.4,16.2,187.8,149.8,5
647.4,221.8,46.4,572.6,53.2,77.2,808.2,311.8,815.4,398.8,946.6,548.0,681.2,563.8,192.6,196.8,51.4,637.2,601.8,762.0,132.8,322.8,221.8,652.8,822.6,5
242.8,575.6,601.0,197.4,314.6,804.2,270.4,299.8,143.0,715.6,855.8,228.6,966.0,618.8,177.2,787.8,753.2,479.0,160.4,705.2,422.2,452.0,992.4,102.8,758.8,5
255.8,4.4,671.8,49.2,124.0,18.8,92.8,899.2,127.2,887.6,90.2,132.4,100.2,567.2,686.4,891.0,811.0,791.6,142.8,684.2,95.2,186.0,76.8,521.4,719.6,5
419.8,789.0,10.2,53.6,867.8,11.2,222.4,93.4,4.2,686.4,122.0,805.8,90.0,899.4,858.4,106.4,904.6,216.2,787.4,32.0,519.0,27.8,118.0,350.6,448.4,5
738.2,850.6,161.6,333.2,147.0,525.8,527.8,783.6,141.8,783.8,287.0,494.2,421.8,223.8,664.0,358.6,170.2,306.6,754.6,285.2,29.8,896.6,319.0,135.8,525.2,5
459.4,935.6,633.2,213.4,762.0,653.8,749.0,811.2,68.8,819.8,635.2,630.8,496.8,772.2,790.8,592.8,895.4,828.0,407.6,756.4,596.6,853.8,735.4,26.2,410.4,6
309.2,423.2,886.8,885.6,334.4,116.8,121.0,271.0,217.6,824.8,133.4,427.6,180.0,624.0,876.8,446.4,799.4,635.8,517.2,527.0,757.6,188.0,731.6,500.2,811.0,6
320.2,232.2,76.8,288.6,735.2,266.8,429.6,841.0,504.2,112.6,216.2,464.4,170.0,405.6,789.0,270.8,289.0,856.8,80.6,96.6,548.0,282.4,716.6,816.2,631.0,6
781.2,729.2,200.2,618.4,35.6,13.6,853.2,854.6,861.0,809.6,638.4,396.0,643.0,924.0,448.8,148.8,882.6,144.8,667.4,655.4,888.6,832.6,617.2,39.6,378.0,6
901.6,793.2,877.4,72.2,794.2,140.8,145.0,16.0,4.6,778.6,235.4,567.8,537.2,38.2,236.0,826.8,691.0,144.4,244.4,4.4,51.6,945.0,465.2,431.0,855.0,6
743.0,631.0,388.8,915.0,243.0,542.8,39.0,572.0,765.2,873.2,560.8,291.6,790.0,9.8,151.8,75.6,583.6,89.2,351.0,368.0,581.2,251.8,309.0,630.6,632.4,6
583.4,103.6,93.2,804.6,254.4,766.4,169.4,905.4,141.8,879.4,919.2,766.4,148.6,320.8,219.2,167.6,217.2,502.6,92.2,819.6,916.4,53.0,15.4,743.8,527.4,6
90.6,8.0,209.0,340.0,367.0,478.6,706.0,165.0,352.4,911.2,10.4,835.2,745.4,44.4,309.6,30.0,847.0,117.0,439.2,195.2,655.6,610.2,746.8,405.2,871.6,6
758.2,208.6,631.8,82.8,770.8,495.0,267.6,816.0,694.6,474.2,416.4,132.0,93.4,460.0,383.8,336.6,126.8,923.6,654.6,381.0,597.0,904.6,881.2,421.6,987.0,6
889.0,825.4,119.4,130.8,163.4,274.2,729.6,337.2,614.2,115.0,822.8,352.6,569.2,787.8,405.8,724.6,201.2,659.6,881.2,598.0,573.8,404.0,758.8,76.2,28.4,6
